ADM2_NA,ADM3_NA,uniq_id2,Climate_vul,Local_threats,bi_class
Bua,Vuya,Yadua taba_Vuya,5.8,1.876567477963774,1-2
Ba,Nadi,Yako_Nadi,5.7,4.76076861420735,3-1
Bua,Vuya,Yanawai River_Vuya,5.8,1.403660956180257,1-2
Bua,Wainunu,Yanawai River_Wainunu,5.7,2.687274733437977,2-1
Macuata,Macuata,Yanawai River_Macuata,6.1,2.771250846775713,2-3
Macuata,Labasa,Yanucari Creek_Labasa,5.8,3.007975972073982,2-2
Macuata,Macuata,Yanucari Creek_Macuata,6.1,3.491037829509128,3-3
Bua,Bua,Yaqaga_Bua,6.2,2.727688008158978,2-3
Ba,Tavua,Yaqara River_Tavua,5.8,3.120494602244356,2-2
Ra,Rakiraki,Yaqara River_Rakiraki,5.7,2.814112857745703,2-1
Ra,Saivou,Yaqara River_Saivou,5.2,1.694402520426109,1-1
Macuata,Macuata,Macuata-i-Wai_Macuata,6.1,2.545905933537582,2-3
Ba,Yasawa,Tavewa_Yasawa,6.5,1.540462663872353,1-3
Ba,Yasawa,Matacawa Levu_Yasawa,6.5,1.234257125412274,1-3
Ba,Yasawa,Nanuya Levu_Yasawa,6.5,0.967491292599478,1-3
Ba,Yasawa,Yaqeta_Yasawa,6.5,1.285273814737827,1-3
Macuata,Cikobia,Cikobia Island_Cikobia,6,0,1-3
Ra,Rakiraki,Nananu-i-Ra Island_Rakiraki,5.7,1.917345789565736,1-1
Ra,Rakiraki,Nananu- i-Cake Island_Rakiraki,5.7,1.610368354454272,1-1
Macuata,Macuata,Kia_Macuata,6.1,2.610005437161099,2-3
Ba,Yasawa,Nacula Island_Yasawa,6.5,1.614931084727417,1-3
Ba,Naviti,Waya_Naviti,6.3,1.526932111754226,1-3
Ba,Vuda,Wayasewa_Vuda,6.3,3.464669428008638,2-3
Ba,Vuda,Kuata_Vuda,6.3,3.141942601028577,2-3
Ba,Naviti,Viwa Island_Naviti,6.3,1.089503918294235,1-3
Ba,Naviti,Naviti_Naviti,6.3,1.4119551875323,1-3
Ba,Yasawa,Yasawa Island_Yasawa,6.5,1.470888988058859,1-3
